
nov. 14, 2018 09:53:31.82 [7948:8036:1114/095331.824:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:53:47.39 [7948:8036:1114/095347.395:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:53:50.68 [7948:8036:1114/095350.688:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:53:53.93 [7948:8036:1114/095353.934:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:54:09.50 [7948:8036:1114/095409.504:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:54:12.79 [7948:8036:1114/095412.798:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:54:16.06 [7948:8036:1114/095416.060:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:54:31.65 [7948:8036:1114/095431.649:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:54:34.94 [7948:8036:1114/095434.942:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:54:38.20 [7948:8036:1114/095438.202:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:54:53.79 [7948:8036:1114/095453.790:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:54:57.08 [7948:8036:1114/095457.084:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:55:00.42 [7948:8036:1114/095500.427:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:55:15.93 [7948:8036:1114/095515.932:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:55:21.63 [7948:8036:1114/095521.634:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:55:22.57 [7948:8036:1114/095522.570:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:55:38.05 [7948:8036:1114/095538.057:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:55:43.74 [7948:8036:1114/095543.743:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:55:58.66 [7948:8036:1114/095558.667:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:56:00.17 [7948:8036:1114/095600.169:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:56:05.87 [7948:8036:1114/095605.871:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:56:21.45 [7948:8036:1114/095621.457:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:56:24.75 [7948:8036:1114/095624.750:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:56:28.01 [7948:8036:1114/095628.011:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:56:43.59 [7948:8036:1114/095643.598:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:56:46.89 [7948:8036:1114/095646.894:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:56:50.15 [7948:8036:1114/095650.154:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:57:05.72 [7948:8036:1114/095705.725:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:57:09.01 [7948:8036:1114/095709.019:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:57:12.34 [7948:8036:1114/095712.348:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
